split,model,date,feature_date,c_q_realised,k_irb_true,alpha_oracle,alpha_bayes,alpha_hat,alpha_hat_std,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat
main,blackbox_mlp,2117-07-01,2117-04-01,0.0013991624709976,0.0781911216483718,0.6142872748409403,0.5746686842251751,0.4870365262031555,0.02455040253698826,1.0946053849326067,1.088503790387575,1.075007704107445,0.019597680825161667,0.013496086280129882,0.0061015945450317854,0.61428727484094,1.094605384932608,0.0
main,blackbox_mlp,2117-10-01,2117-07-01,0.001579154194036,0.0804452766236099,0.6052373631034028,0.5645062677776681,0.5659692883491516,0.018950948491692543,1.0921222457980513,1.085922628583441,1.0861453126887362,0.00597693310931513,-0.00022268410529524552,0.006199617214610376,0.6052373631034028,1.092122245798051,0.0
main,blackbox_mlp,2118-01-01,2117-10-01,0.0011910286991589,0.0726739400011136,0.6366792014443451,0.6004514902013122,0.5138012170791626,0.014604172669351101,1.099379073831872,1.0937243007809951,1.0801990845172589,0.019179989314613177,0.013525216263736262,0.005654773050876916,0.6366792014443451,1.0993790738318718,0.0
main,blackbox_mlp,2118-04-01,2118-01-01,0.0003894315421013,0.0815108905145469,0.6056923331972778,0.5597715320569924,0.5480824708938599,0.020739952102303505,1.099397554983583,1.091861690476041,1.0899434490917796,0.0094541058918034,0.0019182413842613322,0.007535864507542067,0.6056923331972778,1.099397554983583,0.0
main,blackbox_mlp,2118-07-01,2118-04-01,8.8056190180675e-05,0.0749464371555756,0.6319734502099662,0.5896674641477259,0.564082145690918,0.013982686214148998,1.105615047892066,1.0985448952731545,1.0942690912290893,0.011345956662976775,0.004275804044065135,0.00707015261891164,0.6319734502099662,1.105615047892066,0.0
main,blackbox_mlp,2118-10-01,2118-07-01,0.0009547135256623,0.0841655961041177,0.5941053702370195,0.5481605489035634,0.5252501368522644,0.008159320801496506,1.0941376978734803,1.086857609313071,1.0832273888910922,0.010910308982388095,0.0036302204219789136,0.007280088560409181,0.5941053702370195,1.0941376978734798,0.0
main,blackbox_mlp,2119-01-01,2118-10-01,0.0030249461085911,0.0975416881164679,0.5441684157072901,0.493317038961909,0.48886871337890625,0.02645430900156498,1.0749594925237052,1.0679546879725057,1.0673419287261816,0.007617563797523541,0.0006127592463240905,0.0070048045511994506,0.5441684157072901,1.074959492523705,0.0
main,blackbox_mlp,2119-04-01,2119-01-01,0.0019031633034031,0.0971766696074204,0.5486070413020839,0.4947343697832582,0.4587230682373047,0.018384963274002075,1.0817250950488033,1.0736997711485496,1.06833522636493,0.013389868683873374,0.005364544783619696,0.008025323900253678,0.5486070413020839,1.081725095048803,0.0
main,blackbox_mlp,2119-07-01,2119-04-01,0.0015284229115815,0.0995622476722295,0.5426210625590346,0.4855553335326191,0.5028941035270691,0.014186437241733074,1.0828667938666985,1.0741519570673614,1.0767998606932474,0.006066933173451083,-0.002647903625885961,0.008714836799337045,0.5426210625590346,1.0828667938666985,0.0
main,blackbox_mlp,2119-10-01,2119-07-01,0.0094689860726328,0.1008458866115065,0.5167561422755547,0.4806995436396419,0.4879909157752991,0.01561266090720892,1.0378834647607464,1.0352401504930122,1.035774681999774,0.002108782760972483,-0.0005345315067617484,0.0026433142677342314,0.5167561422755547,1.0378834647607458,0.0
