split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,dfl_mlp,2117-07-01,2117-04-01,0.0048033526585502,0.010674117019000444,0.0096890871623237,0.0381967077602946,0.1101230619491977,0.010659828782081604,0.0005707168666174436,0.04196235570663698,0.004796922951936722,0.11331448825371335,0.5047282509520755,0.4945050260321257,0.4849487936432007,1.0605504682993883,1.0593240240588184,1.05817759655999,0.0023728717393982635,0.0011464274988284284,0.001226444240569835,0.5047282509520755,1.060550468299388,0.0,0.0
main,dfl_mlp,2117-10-01,2117-07-01,0.0028446294245695,0.006321398721265556,0.0087098995046588,0.0343870611810089,0.106787807935257,0.009730123914778233,0.00023757814612788934,0.03835611963736296,0.004378555761650205,0.11026004163501477,0.5185849432452995,0.5048301589371436,0.49408840646636676,1.0723704505782674,1.0704509194562128,1.0689518680926209,0.0034185824856465263,0.0014990513635919633,0.001919531122054563,0.5185849432452995,1.0723704505782672,0.0,0.0
main,dfl_mlp,2118-01-01,2117-10-01,0.0037142925712336,0.008253983491630222,0.0089239835821328,0.03522094582292,0.1075290409842279,0.009108098037540913,0.0003287155853552826,0.03593766290740141,0.004098644116893411,0.10816074166163699,0.5142886442815188,0.5025053269919991,0.5005376629750711,1.0672983073300486,1.0657563769041385,1.0654988941477026,0.0017994131823459991,0.00025748275643588947,0.0015419304259101096,0.5142886442815188,1.0672983073300484,0.0,0.0
main,dfl_mlp,2118-04-01,2118-01-01,0.0041646712036679,0.009254824897039778,0.0058303901874777,0.0231183916762302,0.0956510509849462,0.012183580175042152,0.0005688681308930223,0.04785089501488837,0.005482611078768969,0.1181546228350715,0.5464011409847036,0.541814999400449,0.47103957913159394,1.0690395807103275,1.0684601066420916,1.0595173995841358,0.009522181126191631,0.008942707057955745,0.0005794740682358857,0.5464011409847036,1.0690395807103277,0.0,0.0
main,dfl_mlp,2118-07-01,2118-04-01,0.0016743524354645,0.003720783189921111,0.0044370923488137,0.0176305917027176,0.0886378766620879,0.010715419612824916,0.00014682066008217767,0.04217766534998535,0.004821938825771212,0.11349442867280976,0.5763282448191178,0.5670413266357173,0.484419263058016,1.087173379126213,1.085768672612185,1.0732715504648755,0.01390182866133749,0.012497122147309359,0.0014047065140281312,0.5763282448191178,1.0871733791262128,0.0,0.0
main,dfl_mlp,2118-10-01,2118-07-01,0.0010354620629629,0.0023010268065842224,0.003767028001106,0.0149831826273301,0.0844454602856122,0.008623873814940453,0.00043513918723924074,0.03405182800259288,0.003880743216723204,0.10648779694237111,0.592835266287361,0.5828671419092449,0.505776033458812,1.093457740458006,1.0918863117088065,1.0797332546710559,0.01372448578695007,0.012153057037750603,0.001571428749199466,0.592835266287361,1.0934577404580057,0.0,0.0
main,dfl_mlp,2119-01-01,2118-10-01,0.0022951039971769,0.005100231104837555,0.0055653837159627,0.0220763824466169,0.0944440031452647,0.005514835845679045,0.00042776951717882135,0.021877532871263372,0.00248167613055557,0.09420821976604367,0.5557435538765513,0.5460502432300677,0.5468826577718835,1.080610024532187,1.0792040199036834,1.0793247607672867,0.0012852637649003462,-0.00012074086360325254,0.0014060046285035988,0.5557435538765513,1.0806100245321866,0.0,0.0
main,dfl_mlp,2119-04-01,2119-01-01,0.0025986528336984,0.005774784074885334,0.0041236630014065,0.0163929046220774,0.0867653647060218,0.007298372779041528,0.0002283169345357605,0.028875445835198854,0.003284267750568688,0.10166788912607426,0.5794950760320897,0.5740371906312239,0.5213588861172551,1.0822961075589406,1.081521014305224,1.0740399853998743,0.008256122159066237,0.00748102890534974,0.0007750932537164967,0.5794950760320897,1.08229610755894,0.0,0.0
main,dfl_mlp,2119-07-01,2119-04-01,0.0006171320028061,0.0013714044506802222,0.0040043169331408,0.0159213169805962,0.0860133289682988,0.008862764202058315,0.0002608354550124811,0.03498254373304632,0.0039882438909262415,0.10731783749455939,0.5888225089801142,0.576879461998337,0.5031659947525242,1.0952883693660171,1.0933556418381127,1.0814266887375685,0.013861680628448614,0.011928953100544204,0.0019327275279044098,0.5888225089801142,1.0952883693660165,0.0,0.0
main,dfl_mlp,2119-10-01,2119-07-01,0.0016765239759814,0.003725608835514222,0.0050224176829955,0.0199388287749058,0.091804343876531,0.004147565877065063,0.00042898446866907516,0.016487334786848495,0.0018664046446792782,0.08691325418897076,0.5659922343826065,0.555465165249517,0.5734804759410674,1.0855976998646606,1.0840056410882857,0.9544273637074101,0.1311703361572505,0.12957827738087557,0.001592058776374916,0.5659922343826065,1.08559769986466,0.013230281857396498,0.0
