DATE,model,train_size,is_stress,regime_label,actual_chargeoff,pred_chargeoff_raw,pred_chargeoff,forecast_error,actual_pd_q,actual_pd_a,pred_pd_q,pred_pd_a,alpha_pred,alpha_oracle,realised_utility,oracle_utility,regret,cumulative_regret
2020-06-30,pto_linear,120,0,normal,0.0026909859816523,0.0015214693024563903,0.0015214693024563903,-0.0011695166791959098,0.005979968848116223,0.02370616932453884,0.003381042894347534,0.013455737341296792,0.9177690631775535,0.953285762696463,1.0434187494754728,1.0450990095108983,0.0016802600354255404,0.0016802600354255404
2020-06-30,pto_mlp,120,0,normal,0.0026909859816523,0.060511057685673164,0.04,0.0373090140183477,0.005979968848116223,0.02370616932453884,0.08888888888888889,0.3108950464868161,0.8709993821678277,0.953285762696463,1.0412061219809499,1.0450990095108983,0.00389288752994843,0.00389288752994843
2020-09-30,pto_linear,121,0,normal,0.0013448737599547,0.002412668532452938,0.002412668532452938,0.0010677947724982379,0.002988608355454889,0.011900949436997266,0.005361485627673195,0.021274084990516973,0.9177690631775535,0.9710717787552912,1.044654169628112,1.0472476199834841,0.0025934503553721733,0.004273710390797714
2020-09-30,pto_mlp,121,0,normal,0.0013448737599547,-0.0252114971544072,0.0005,-0.0008448737599547,0.002988608355454889,0.011900949436997266,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9710717787552912,1.044654169628112,1.0472476199834841,0.0025934503553721733,0.006486337885320603
2020-12-31,pto_linear,122,0,normal,0.0018081667357693,0.0017703316964463056,0.0017703316964463056,-3.7835039322994465e-05,0.004018148301709556,0.01597597935182049,0.003934070436547346,0.015643663594475887,0.9177690631775535,0.9634748046393335,1.044228973667722,1.046431617139466,0.002202643471744148,0.0064763538625418615
2020-12-31,pto_mlp,122,0,normal,0.0018081667357693,-0.062183061102814824,0.0005,-0.0013081667357693,0.004018148301709556,0.01597597935182049,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9634748046393335,1.044228973667722,1.046431617139466,0.002202643471744148,0.008688981357064751
2021-03-31,pto_linear,123,0,normal,0.0017387469924502,0.0017133157792371357,0.0017133157792371357,-2.5431213213064196e-05,0.0038638822054448884,0.015366181829343684,0.003807368398304746,0.015142717825634366,0.9177690631775535,0.9644722615484725,1.0442926849605139,1.0465466398333545,0.0022539548728406356,0.008730308735382497
2021-03-31,pto_mlp,123,0,normal,0.0017387469924502,0.0015759884003468637,0.0015759884003468637,-0.00016275859210333624,0.0038638822054448884,0.015366181829343684,0.0035021964452152526,0.013935365173856185,0.9177690631775535,0.9644722615484725,1.0442926849605139,1.0465466398333545,0.0022539548728406356,0.010942936229905387
2021-06-30,pto_linear,124,0,normal,0.0014855435264478,0.002865203053028026,0.002865203053028026,0.0013796595265802261,0.003301207836550667,0.013139587294253907,0.006367117895617835,0.025226261293868624,0.9177690631775535,0.9685026476700884,1.0445250672683002,1.0469863795449106,0.0024613122766103945,0.011191621011992892
2021-06-30,pto_mlp,124,0,normal,0.0014855435264478,-0.14349169183802937,0.0005,-0.0009855435264478,0.003301207836550667,0.013139587294253907,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9685026476700884,1.0445250672683002,1.0469863795449106,0.0024613122766103945,0.013404248506515781
