split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,dfl_linear,2205-01-01,2204-10-01,0.0008024878294395,0.0017833062876433333,0.0014497154844785,0.0057862640709047,0.0594250052790947,0.0036030279006808996,,0.014334407669172933,0.001621362555306405,0.08329930304412346,0.6972163889528912,0.6956334966137285,0.5912442791282664,1.1115372766778813,1.1112840532832766,1.0945843755112872,0.016952901166594092,0.01669967777198944,0.0002532233946046514,0.6972163889528912,1.111537276677881,0.0,0.0
main,dfl_linear,2205-04-01,2205-01-01,0.0006968617081011,0.001548581573558,0.0016565249886489,0.0066096536793534,0.0628915989438518,0.002956959418952465,,0.011775479363315133,0.0013306317385286092,0.07816673379412813,0.6812524516970497,0.6785568053711748,0.611383714740211,1.1097030244137276,1.109268940758011,1.0984519650787647,0.011251059334962843,0.010816975679246221,0.00043408365571662166,0.6812524516970497,1.1097030244137271,0.0,0.0
main,dfl_linear,2205-07-01,2205-04-01,0.0009482242415641,0.0021071649812535553,0.0017457557131661,0.0069647581472165,0.0642674152345095,0.002558609936386347,,0.01019522779345372,0.0011513744713738561,0.07436543418040407,0.6737834300181285,0.6719883783090246,0.6270116938462013,1.1068066384239716,1.106522090852296,1.0993924876876704,0.00741415073630125,0.00712960316462552,0.00028454757167573064,0.6737834224862129,1.1068066372300287,0.0,0.0
main,dfl_linear,2205-10-01,2205-07-01,0.0009112524565611,0.0020250054590246667,0.0021898492364838,0.0087306662900275,0.0702519328854187,0.0039428421296179295,,0.015678337434197887,0.0017742789583280684,0.08561674107917525,0.6478228508229611,0.6446860954032554,0.582479712444404,1.102930937295969,1.1024325461462767,1.0925487310020403,0.01038220629392872,0.009883815144236419,0.000498391149692301,0.6478228508229611,1.1029309372959688,0.0,0.0
main,dfl_linear,2206-01-01,2205-10-01,0.0004936293289645,0.0010969540643655557,0.0015509632264095,0.0061894349015609,0.0611737340599231,0.004563305992633104,,0.018128661068192997,0.002053487696684897,0.08935414572344672,0.6902865907079035,0.6869226278446524,0.568738101539062,1.1125606901732845,1.112012149919566,1.0927405429843697,0.019820147188914783,0.01927160693519636,0.0005485402537184214,0.6902865907079035,1.112560690173284,0.0,0.0
main,dfl_linear,2206-04-01,2206-01-01,0.0007512839166638,0.0016695198148084444,0.0014696911287128,0.0058658172561869,0.0597783507512836,0.0032122491393238306,,0.01278721776656766,0.0014455121126957238,0.0803265100623007,0.6957507299904833,0.6938571659306645,0.6027812508902977,1.1116590593039117,1.1113551665840946,1.0967386515589663,0.014920407744945408,0.014616515025128285,0.0003038927198171226,0.6957507299904833,1.111659059303911,0.0,0.0
main,dfl_linear,2206-07-01,2206-04-01,0.00045176561148,0.0010039235810666667,0.0012777982786268,0.005101404846591,0.0561977596479988,0.0039639342576265335,,0.015761709272447355,0.0017837704159319402,0.08575353925250004,0.7150542649393153,0.7122528492145644,0.5819683361771979,1.1168987472373881,1.1164407652285082,1.0951415476652184,0.021757199572169705,0.021299217563289785,0.00045798200887992024,0.7150542649393153,1.1168987472373877,0.0,0.0
main,dfl_linear,2206-10-01,2206-07-01,0.0003028332747415,0.0006729628327588889,0.0011649386063622,0.0046516182555363,0.053876157827682,0.0037157125771045685,,0.014780216202303742,0.0016720706596970558,0.08409264009149565,0.7279133249736172,0.7246699997739845,0.5882219870103056,1.1200850748362703,1.119550018070644,1.0970399619117186,0.02304511292455169,0.022510056158925318,0.0005350567656263738,0.7279133249736172,1.1200850748362698,0.0,0.0
main,dfl_linear,2207-01-01,2206-10-01,0.0007954316007399,0.001767625779422,0.0012117518182834,0.0048382043332297,0.0548604683335161,0.002777406945824623,,0.011063429487286891,0.0012498331256210805,0.07652487874594471,0.7201710495754665,0.7193565238302594,0.6180549968350213,1.115260268220975,1.1151299068909533,1.0989170347135058,0.016343233507469135,0.01621287217744749,0.0001303613300216444,0.720171049575467,1.115260268220975,0.0,0.0
main,dfl_linear,2207-04-01,2207-01-01,0.0007431410858784,0.0016514246352853333,0.001331518593322,0.0053154461623787,0.0572438443357052,0.0035064914263784885,,0.013952365117606114,0.0015779211418703199,0.08259826943601323,0.7082805654554465,0.7067861964690684,0.5939343728360256,1.1137276111113237,1.1134876623915242,1.0953672042887537,0.018360406822570008,0.01812045810277052,0.00023994871979948762,0.7082805654554465,1.1137276111113232,0.0,0.0
main,dfl_linear,2207-07-01,2207-04-01,0.0007024276249683,0.0015609502777073334,0.0014481957986719,0.0057802117128981,0.0593979503157586,0.0035549288149923086,,0.01414406968890447,0.001599717966746539,0.08295256186559467,0.6978348628616068,0.6957698495170735,0.5925725363809149,1.1123344721073503,1.11200205508966,1.0953897929184788,0.016944679188871437,0.01661226217118128,0.0003324170176901564,0.6978348628616068,1.1123344721073505,0.0,0.0
main,dfl_linear,2207-10-01,2207-07-01,0.0006220513455861,0.0013823363235246665,0.0012755843911195,0.00509258317069,0.0561538671756083,0.004381433594971895,,0.017410888690109316,0.001971645117737353,0.08831544998889097,0.714408594366542,0.7124839320385421,0.5725102270538451,1.1155766555793392,1.1152652846961446,1.0926204105740396,0.02295624500529958,0.02264487412210503,0.00031137088319455053,0.7144085943665418,1.1155766555793392,0.0,0.0
main,dfl_linear,2208-01-01,2207-10-01,0.0003907099998061,0.0008682444440135555,0.0011645245081456,0.0046499676436905,0.0538673098018926,0.0027015500236302614,,0.010762488673747628,0.0012156975106336176,0.07579711691748008,0.7274948328859449,0.7247180936847633,0.621049913601065,1.1193767368646808,1.1189210936766094,1.1019098813687525,0.017466855495928302,0.01701121230785696,0.00045564318807134185,0.7274948328859449,1.1193767368646803,0.0,0.0
main,dfl_linear,2208-04-01,2208-01-01,0.0004287518516627,0.0009527818925837777,0.0012196872241799,0.0048698303307644,0.0550242554578233,0.003496262477710843,,0.01391187760471324,0.0015733181149698795,0.08252277995747913,0.7212248892315497,0.7184794204685083,0.5942251520230899,1.118073516323668,1.1176240488196352,1.0972820741975347,0.020791442126133264,0.020341974622100523,0.00044946750403274116,0.7212248892315497,1.1180735163236677,0.0,0.0
main,dfl_linear,2208-07-01,2208-04-01,0.0005880329061218,0.001306739791381778,0.0014560244098183,0.0058113899394151,0.0595370594745435,0.003598283976316452,,0.014315636209430105,0.0016192277893424035,0.08326532532951168,0.697714522195388,0.6950692841792353,0.5913742387155536,1.1131132487475257,1.112684403630792,1.0958733969822383,0.017239851765287417,0.016811006648553617,0.0004288451167338003,0.697714522195388,1.1131132487475253,0.0,0.0
main,dfl_linear,2208-10-01,2208-07-01,0.0010453251462645,0.002322944769476667,0.001718531127541,0.0068564247077144,0.0638546770780435,0.004090071655809879,,0.01626018791259287,0.0018405322451144456,0.08655601715087358,0.6752194330282054,0.6739468358363221,0.5789816505481953,1.1063786262228301,1.1061781326730509,1.0912166765066593,0.015161949716170797,0.014961456166391551,0.00020049354977924594,0.6752194330282054,1.10637862622283,0.0,0.0
