DATE,EBP
1973-01-01,-0.0468850550384547
1973-02-01,-0.0581678381657024
1973-03-01,-0.1496163883006971
1973-04-01,-0.2103142525351864
1973-05-01,-0.0843244927375836
1973-06-01,0.0356461310266362
1973-07-01,-0.3453226465661273
1973-08-01,-0.213539777655854
1973-09-01,-0.3536568389010925
1973-10-01,0.1182519445818726
1973-11-01,0.0529400448532375
1973-12-01,-0.0070210236250287
1974-01-01,-0.0385556765979777
1974-02-01,0.1625288608267854
1974-03-01,-0.0988037712617695
1974-04-01,0.092165527166814
1974-05-01,0.0993487146773148
1974-06-01,0.75539342911544
1974-07-01,1.2606725089157964
1974-08-01,0.9436189573493674
1974-09-01,0.9967010931451494
1974-10-01,1.1081228312980158
1974-11-01,1.0888821613650406
1974-12-01,1.2212467065288783
1975-01-01,0.3886238643972965
1975-02-01,0.4116054987750774
1975-03-01,0.6009892540423865
1975-04-01,0.2338493281174343
1975-05-01,0.359552484892943
1975-06-01,0.2542531814955586
1975-07-01,0.3839644992556139
1975-08-01,0.1263804510313206
1975-09-01,0.3024156699582658
1975-10-01,0.1114407343323213
1975-11-01,0.1819977193172903
1975-12-01,-0.0402215689148304
1976-01-01,-0.1659617151770661
1976-02-01,-0.084515746958911
1976-03-01,-0.1259571340383598
1976-04-01,-0.0681559540043916
1976-05-01,-0.1282382361603142
1976-06-01,-0.0534608245862908
1976-07-01,-0.0919675296694114
1976-08-01,-0.1721087587444233
1976-09-01,-0.2086510841666167
1976-10-01,-0.1460652149743142
1976-11-01,-0.3737436614759016
1976-12-01,-0.0467348596619621
1977-01-01,-0.3388897910335531
1977-02-01,-0.2099863136510111
1977-03-01,-0.17795671576256
1977-04-01,-0.2468100077095064
1977-05-01,-0.2491892561510247
1977-06-01,-0.2613489892308266
1977-07-01,-0.1791581577291395
1977-08-01,-0.1886685608890723
1977-09-01,-0.1372153349261565
1977-10-01,-0.152473293815659
1977-11-01,-0.1358313642963072
1977-12-01,-0.3382786389892457
1978-01-01,-0.3357003375306137
1978-02-01,-0.340773117760104
1978-03-01,-0.3386445258438114
1978-04-01,-0.2867649572276661
1978-05-01,-0.2474247098149728
1978-06-01,-0.4593111530830462
1978-07-01,-0.3730080423247881
1978-08-01,-0.3964277350360811
1978-09-01,-0.3192067336531011
1978-10-01,-0.4936662893099481
1978-11-01,-0.2354474866806166
1978-12-01,-0.376801866810958
1979-01-01,-0.249882236087632
1979-02-01,-0.3111233502365378
1979-03-01,-0.1692170987178443
1979-04-01,-0.2055363406768948
1979-05-01,-0.2380138960631773
1979-06-01,-0.1462026463490419
1979-07-01,-0.236955703618785
1979-08-01,-0.3192180580933299
1979-09-01,-0.0803313199115021
1979-10-01,-0.6284790281802851
1979-11-01,0.0126547603653891
1979-12-01,0.2244493425438399
1980-01-01,-0.0077484826985971
1980-02-01,-0.3024564957088467
1980-03-01,0.3604337879942241
1980-04-01,-0.3155276545656038
1980-05-01,0.1414488405983665
1980-06-01,0.0166714390219735
1980-07-01,0.230486443439091
1980-08-01,0.092340834667867
1980-09-01,0.0623784771348692
1980-10-01,-0.097654546282944
1980-11-01,0.371777113374828
1980-12-01,0.1670187335603117
1981-01-01,0.4464403445877157
1981-02-01,0.2065145516100358
1981-03-01,0.0696547887798977
1981-04-01,0.5738836738017876
1981-05-01,0.4094898855296916
1981-06-01,0.4964488301508051
1981-07-01,0.4786850792828584
1981-08-01,0.3230788396060255
1981-09-01,0.4526046010544835
1981-10-01,0.56984430151703
1981-11-01,0.2561743302210852
1981-12-01,0.5763159034665541
1982-01-01,0.7677997819810599
1982-02-01,0.5520996436778749
1982-03-01,0.9762139958504574
1982-04-01,0.8674020463273974
1982-05-01,0.7912857836933129
1982-06-01,0.7745316432303008
1982-07-01,0.7058775702968922
1982-08-01,-0.0018974442869124
1982-09-01,0.5064500926650131
1982-10-01,0.2460065245550535
1982-11-01,0.5276711222033394
1982-12-01,0.6795211907334207
1983-01-01,0.2957928258418167
1983-02-01,0.2513538498676835
1983-03-01,0.1731957802255481
1983-04-01,0.086478947626345
1983-05-01,-0.1032648042964404
1983-06-01,0.0575145079720144
1983-07-01,-0.1046273780942889
1983-08-01,-0.1708440459880189
1983-09-01,-0.073169256028326
1983-10-01,-0.0963528663370106
1983-11-01,0.0267038433339922
1983-12-01,0.0805734927142578
1984-01-01,-3.138483842812789e-07
1984-02-01,-0.076670285586901
1984-03-01,-0.0007176063790194087
1984-04-01,0.0666332384983571
1984-05-01,-0.3628055461646586
1984-06-01,-0.0697238077568283
1984-07-01,-0.1624433118900713
1984-08-01,0.1498593814762624
1984-09-01,-0.0613399300475639
1984-10-01,-0.2584670531202726
1984-11-01,-0.1315216551914808
1984-12-01,-0.0156021887909473
1985-01-01,-0.1504420860168343
1985-02-01,-0.1789392584816042
1985-03-01,0.0550377564296868
1985-04-01,-0.0754646592453358
1985-05-01,-0.2882649981103988
1985-06-01,0.0356208481071949
1985-07-01,-0.0083399582740493
1985-08-01,0.0161778909057166
1985-09-01,0.0966744236162724
1985-10-01,0.1580159183095937
1985-11-01,0.1787194922117454
1985-12-01,-0.0454172517622835
1986-01-01,0.1904753865265687
1986-02-01,-0.2104199823489718
1986-03-01,0.5602812262669692
1986-04-01,0.5107933350297991
1986-05-01,0.0055262054232383
1986-06-01,0.0743107650621599
1986-07-01,0.6913113940082307
1986-08-01,0.654203815119129
1986-09-01,0.3013512947048296
1986-10-01,0.4831587830984347
1986-11-01,0.5927513971399194
1986-12-01,0.617946413965716
1987-01-01,0.4772241572016633
1987-02-01,0.5444877322317254
1987-03-01,0.4328620080374408
1987-04-01,-0.279036487719013
1987-05-01,0.1675763258677469
1987-06-01,0.1533906093389367
1987-07-01,0.2289085290042729
1987-08-01,0.2262163898023075
1987-09-01,0.2199904258286993
1987-10-01,-0.6920482532192211
1987-11-01,0.2166392202295191
1987-12-01,-0.0355591617737178
1988-01-01,-0.1807459875904034
1988-02-01,0.165403387329216
1988-03-01,-0.1002159869015864
1988-04-01,-0.0292457162221515
1988-05-01,0.0524194198490588
1988-06-01,0.150581903593719
1988-07-01,-0.1351730444574528
1988-08-01,0.0389058389647731
1988-09-01,0.2243896627694785
1988-10-01,0.3297827209281172
1988-11-01,0.2305060899201902
1988-12-01,0.366253257980671
1989-01-01,0.3636309612619555
1989-02-01,0.2508429648788135
1989-03-01,0.4841258027336934
1989-04-01,0.5682877241206215
1989-05-01,0.390783189970584
1989-06-01,0.6496650032149622
1989-07-01,0.8769322600832832
1989-08-01,0.5900954727520527
1989-09-01,0.6349552303198446
1989-10-01,0.5220129965212101
1989-11-01,0.6413456930122797
1989-12-01,0.5336466447293695
1990-01-01,0.2687929063672751
1990-02-01,0.4046011088579276
1990-03-01,0.4275120515374555
1990-04-01,0.1859726763162454
1990-05-01,0.1009726398805701
1990-06-01,0.1540251476819958
1990-07-01,0.0844977100165937
1990-08-01,-0.2228579065822227
1990-09-01,-0.0035470623195497
1990-10-01,0.1736396619633946
1990-11-01,0.2755361826690423
1990-12-01,0.3516934200035706
1991-01-01,0.3731315536262904
1991-02-01,0.3045891427172504
1991-03-01,0.2386427753216118
1991-04-01,0.2023908010153565
1991-05-01,0.1872207761272197
1991-06-01,0.0985025876944303
1991-07-01,0.1958926300044401
1991-08-01,0.1394495389780627
1991-09-01,0.171702566683231
1991-10-01,0.1569130577533357
1991-11-01,0.1691221656416806
1991-12-01,0.1797002911866352
1992-01-01,0.0535944764573788
1992-02-01,0.1034233180593282
1992-03-01,0.0469122442986045
1992-04-01,0.0389076419424683
1992-05-01,0.0057414786190177
1992-06-01,0.0047902177236229
1992-07-01,-0.0636487630570874
1992-08-01,0.0819090122857266
1992-09-01,0.1804387050368476
1992-10-01,0.1101256582573666
1992-11-01,0.0720644834807207
1992-12-01,0.1061383778694045
1993-01-01,0.0694622489767353
1993-02-01,0.0625967978121433
1993-03-01,0.0345211586704097
1993-04-01,0.0671460273127051
1993-05-01,0.0369960859229681
1993-06-01,-0.0308050041671545
1993-07-01,-0.0377203913470611
1993-08-01,-0.03851166345247
1993-09-01,0.0526951889319651
1993-10-01,-0.0224518620858202
1993-11-01,-0.1171530930409547
1993-12-01,-0.1547110246418348
1994-01-01,-0.2311835675794049
1994-02-01,-0.4250040549841203
1994-03-01,-0.3091400942585558
1994-04-01,-0.2672793913804174
1994-05-01,-0.2730844060754567
1994-06-01,-0.3179561448869701
1994-07-01,-0.2919052523099781
1994-08-01,-0.2607326424260141
1994-09-01,-0.3850354115545771
1994-10-01,-0.3016835549697723
1994-11-01,-0.2268281142945154
1994-12-01,-0.175663977914223
1995-01-01,-0.2196770408046877
1995-02-01,-0.2515524302367227
1995-03-01,-0.2607607671789427
1995-04-01,-0.2000784972312508
1995-05-01,-0.2900512024194333
1995-06-01,-0.1040533252655893
1995-07-01,-0.2753980463514152
1995-08-01,-0.167278318854523
1995-09-01,-0.1249200440019979
1995-10-01,-0.0882366514114869
1995-11-01,-0.0052278941005134
1995-12-01,-0.0182447310629805
1996-01-01,-0.065744328008267
1996-02-01,-0.2782045927366585
1996-03-01,-0.3028202423218824
1996-04-01,-0.2527378723334619
1996-05-01,-0.2859498154705018
1996-06-01,-0.2387761861756143
1996-07-01,-0.2872515915210274
1996-08-01,-0.3583719787021158
1996-09-01,-0.352361864410055
1996-10-01,-0.2947967063138246
1996-11-01,-0.2464730513213979
1996-12-01,-0.3695262115564102
1997-01-01,-0.3168434767017798
1997-02-01,-0.433946297449401
1997-03-01,-0.4645621243959454
1997-04-01,-0.4127552905242821
1997-05-01,-0.4118443800070299
1997-06-01,-0.5122629227659896
1997-07-01,-0.4888851771910623
1997-08-01,-0.4901691566430255
1997-09-01,-0.5427649015935165
1997-10-01,-0.4159483525035121
1997-11-01,-0.3091341954358013
1997-12-01,-0.3741822940910777
1998-01-01,-0.3290312250674774
1998-02-01,-0.3037004633202598
1998-03-01,-0.3560799151346909
1998-04-01,-0.3891873448000504
1998-05-01,-0.3425668464841187
1998-06-01,-0.3046509043701457
1998-07-01,-0.2646588100838118
1998-08-01,0.1346269993791431
1998-09-01,0.1179919049354307
1998-10-01,0.2328265878315814
1998-11-01,0.2177581010516132
1998-12-01,0.0813582970994371
1999-01-01,0.0732633440950829
1999-02-01,-0.1521229482882431
1999-03-01,-0.1397212419153521
1999-04-01,-0.1804630594356058
1999-05-01,-0.1788457831326972
1999-06-01,-0.1153493359154667
1999-07-01,-0.0671506225768978
1999-08-01,-0.0062182451954324
1999-09-01,0.1274627237814714
1999-10-01,0.1410492118728359
1999-11-01,0.1059751333177765
1999-12-01,-0.1237496185857296
2000-01-01,0.0615512515941278
2000-02-01,0.1506094515089597
2000-03-01,0.4152358902666995
2000-04-01,0.5727271634989064
2000-05-01,0.7550108790957903
2000-06-01,0.8028672875824259
2000-07-01,0.8829727322319285
2000-08-01,1.0366091441550718
2000-09-01,1.1437161496074824
2000-10-01,1.5346831961029093
2000-11-01,1.6174735885080334
2000-12-01,1.6170391740483292
2001-01-01,1.1622955955711358
2001-02-01,1.1940819670769
2001-03-01,1.1229074402402897
2001-04-01,0.9318129307344476
2001-05-01,0.7868885420296272
2001-06-01,1.02896960171549
2001-07-01,0.796543983675313
2001-08-01,0.7771101793633917
2001-09-01,1.2421828351269406
2001-10-01,1.0581534511933293
2001-11-01,-0.092293066749121
2001-12-01,0.4133693074505533
2002-01-01,0.575486888967228
2002-02-01,0.794311221432193
2002-03-01,0.2887773233941004
2002-04-01,0.4268434551817628
2002-05-01,0.5262584338907232
2002-06-01,0.9799078104748364
2002-07-01,1.6082539571455987
2002-08-01,1.5053236474767693
2002-09-01,1.6912158442719245
2002-10-01,1.4825148576600258
2002-11-01,1.0646892806517672
2002-12-01,0.930338697149042
2003-01-01,0.8798414758778521
2003-02-01,0.67888767936538
2003-03-01,0.1623287834205729
2003-04-01,0.0761879298560024
2003-05-01,-0.4705847157133518
2003-06-01,-0.3637933674872875
2003-07-01,-1.070803891702051
2003-08-01,-0.1931230108441841
2003-09-01,-0.537798849890136
2003-10-01,-0.5171390843725256
2003-11-01,-0.5444982968310965
2003-12-01,-0.5088700705201101
2004-01-01,-0.7051403911186993
2004-02-01,-0.3366210496354644
2004-03-01,-0.5219399184607476
2004-04-01,-0.7621489151429375
2004-05-01,-0.3798647067514021
2004-06-01,-0.3846492952893787
2004-07-01,-0.3207239785558717
2004-08-01,-0.4238252105126803
2004-09-01,-0.5454174742076641
2004-10-01,-0.5287472596014544
2004-11-01,-0.6674619342229238
2004-12-01,-0.7144793133054914
2005-01-01,-0.6985768568461257
2005-02-01,-0.928235818392505
2005-03-01,-0.6404606792195966
2005-04-01,-0.385141530375968
2005-05-01,-0.3041181662168313
2005-06-01,-0.4497779403759994
2005-07-01,-0.553181620446376
2005-08-01,-0.5508056747857524
2005-09-01,-0.4587367151560589
2005-10-01,-0.3417977153133054
2005-11-01,-0.311798428009423
2005-12-01,-0.2828219152916393
2006-01-01,-0.3526299541599331
2006-02-01,-0.3086813923565328
2006-03-01,-0.3952530108418037
2006-04-01,-0.4323037569526908
2006-05-01,-0.3349687864131483
2006-06-01,-0.3433884139041794
2006-07-01,-0.2428752863786085
2006-08-01,-0.2676285355924899
