split,model,date,feature_date,c_q_realised,k_irb_true,alpha_oracle,alpha_bayes,alpha_hat,alpha_hat_std,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat
main,blackbox_mlp,2117-07-01,2117-04-01,0.0005818616973035,0.0995513614734822,0.5454548681872159,0.5081854294817284,0.4876827597618103,0.03236944228410721,1.0884626249013936,1.0824182157874989,1.0790930644565775,0.009369560444816072,0.003325151330921372,0.0060444091138947,0.5454548681872159,1.0884626249013931,0.0
main,blackbox_mlp,2117-10-01,2117-07-01,0.0018033253247041,0.1000386461094951,0.5404179292124323,0.5064321878631468,0.4656229019165039,0.02532944828271866,1.0810447187309593,1.0759479876648192,1.0698279518140903,0.011216766916869014,0.006120035850728955,0.005096731066140059,0.5404179292124323,1.081044718730959,0.0
main,blackbox_mlp,2118-01-01,2117-10-01,0.0160362329771459,0.1082129007821975,0.48204587017482275,0.4781908775971997,0.4446788430213928,0.018663475289940834,1.0036817073914255,1.003652264229384,1.0033963103606065,0.00028539703081897905,0.00025595386877741433,2.944316204156472e-05,0.4820458701748227,1.0036817073914253,0.0
main,blackbox_mlp,2118-04-01,2118-01-01,0.002939584298585,0.1166160085924345,0.4932046410041852,0.4514908450591717,0.38096511363983154,0.041729412972927094,1.0683602135018515,1.0625785079790324,1.0528033484278487,0.01555686507400278,0.009775159551183688,0.005781705522819092,0.493204641004185,1.0683602135018513,0.0
main,blackbox_mlp,2118-07-01,2118-04-01,0.0007038720161095,0.1105480559993848,0.5142659166225938,0.4705371413724702,0.3658714294433594,0.05145222693681717,1.0827769001171004,1.0757382604870522,1.0588911335396927,0.023885766577407708,0.01684712694735957,0.007038639630048138,0.5142659166225938,1.0827769001171,0.0
main,blackbox_mlp,2118-10-01,2118-07-01,0.0094252579512446,0.0991848734232313,0.5213488872448168,0.5095090500687695,0.40118032693862915,0.032196927815675735,1.038448135608362,1.037574978157635,1.0295860142620774,0.008862121346284502,0.0079889638955577,0.0008731574507268025,0.5213488872448168,1.0384481356083617,0.0
main,blackbox_mlp,2119-01-01,2118-10-01,0.0116542982043813,0.1078825448914854,0.4932502558677129,0.4792885546899133,0.48975300788879395,0.015066605992615223,1.0253811872730787,1.0246627597648734,1.0252012293210302,0.00017995795204850396,-0.0005384695561567732,0.0007184275082052771,0.4932502558677129,1.0253811872730785,0.0
main,blackbox_mlp,2119-04-01,2119-01-01,0.0047136430216292,0.1021075658162072,0.5262570347768114,0.499073812096879,0.4223727583885193,0.030977142974734306,1.0636053038469144,1.0603198425155922,1.0510494793582281,0.012555824488686307,0.00927036315736407,0.003285461331322237,0.5262570347768114,1.0636053038469144,0.0
main,blackbox_mlp,2119-07-01,2119-04-01,0.0081618906214614,0.1004595430691411,0.5213181755424806,0.5049239414582135,0.4452686309814453,0.029645295813679695,1.0450320342135613,1.0436158823415884,1.0384627913724986,0.006569242841062639,0.00515309096908978,0.0014161518719728594,0.5213181755424806,1.045032034213561,0.0
main,blackbox_mlp,2119-10-01,2119-07-01,0.002583666486612,0.0981435275510238,0.5436933831151373,0.5132932361257925,0.4533518850803375,0.015950141474604607,1.0772932646338702,1.0729714783493045,1.0644500159722523,0.012843248661617901,0.008521462377052202,0.0043217862845656985,0.5436933831151373,1.0772932646338698,0.0
main,blackbox_mlp,2120-01-01,2119-10-01,0.0009352754955636,0.0782326216691502,0.6158852923907038,0.5921730073277336,0.475689560174942,0.013148347847163677,1.0977085049011277,1.0939466162021807,1.0754668382181198,0.022241666683007866,0.018479777984060863,0.0037618886989470024,0.6158852923907036,1.0977085049011277,0.0
main,blackbox_mlp,2120-04-01,2120-01-01,0.0001056495938783,0.0725440959502291,0.6416436434784167,0.6173368114918376,0.5473211407661438,0.009354031644761562,1.107118238200893,1.103060370496426,1.0913717090862827,0.015746529114610386,0.011688661410143242,0.004057867704467144,0.6416436434784167,1.1071182382008928,0.0
main,blackbox_mlp,2120-07-01,2120-04-01,7.232846049999284e-05,0.0797332130242862,0.613476059508865,0.5857601308009551,0.5390545725822449,0.01458189357072115,1.1026202602081105,1.0979840306897293,1.0901712783202135,0.012448981887897004,0.00781275236951573,0.004636229518381274,0.613476067573229,1.1026202615570908,0.0
main,blackbox_mlp,2120-10-01,2120-07-01,0.0049939262327893,0.0857815267159777,0.5747937244652016,0.5607528839143643,0.471358060836792,0.04346980154514313,1.0678605711196596,1.0662028991266912,1.0556488803700856,0.012211690749573956,0.010554018756605554,0.0016576719929684014,0.5747937244652016,1.0678605711196594,0.0
main,blackbox_mlp,2121-01-01,2120-10-01,0.000227170139813,0.0775192629152488,0.621324727643017,0.5952529888015945,0.5170301198959351,0.022908860817551613,1.1029710899915475,1.0986502650717658,1.0856865220962741,0.01728456789527333,0.012963742975491632,0.004320824919781696,0.621324727643017,1.102971089991547,0.0
main,blackbox_mlp,2121-04-01,2121-01-01,0.0004031267207921,0.0740502991776678,0.6343027326162902,0.6105352166796825,0.5486460328102112,0.017461080104112625,1.104005815273646,1.1001086858039049,1.0899607947512917,0.014045020522354346,0.010147891052613156,0.0038971294697411896,0.6343027326162902,1.104005815273646,0.0
main,blackbox_mlp,2121-07-01,2121-04-01,0.0003541882118251,0.0588075518096877,0.7024359151956218,0.6848906088811053,0.5674916505813599,0.01688542030751705,1.1155212885456158,1.1126358204914713,1.0933286087682177,0.02219267977739814,0.01930721172325356,0.00288546805414458,0.7024359151956214,1.1155212885456152,0.0
main,blackbox_mlp,2121-10-01,2121-07-01,9.049446774736332e-05,0.0555968184106055,0.7200081624664921,0.7023635778568124,0.5899454355239868,0.04176758602261543,1.120309803740009,1.1173614808985115,1.0985769651861526,0.021732838553856437,0.01878451571235895,0.002948322841497486,0.7200081624664921,1.120309803740009,0.0
main,blackbox_mlp,2122-01-01,2121-10-01,0.0013743280765593,0.0661890263905196,0.6632911554978719,0.6472655598360373,0.5676944851875305,0.02918916754424572,1.1023171175443007,1.0998450617337283,1.087570688812494,0.014746428731806649,0.012274372921234233,0.0024720558105724155,0.6632911554978719,1.1023171175443005,0.0
