split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,linear,2117-07-01,2117-04-01,0.0048033526585502,0.010674117019000444,0.0096890871623237,0.0381967077602946,0.1101230619491977,0.008484152145683765,,0.033507161161219545,0.0038178684655576947,0.10599772771257475,0.5047282509520755,0.4945050260321257,0.5073272119995975,1.0605504682993883,1.0593240240588184,1.0093701018482926,0.051180366451095693,0.04995392221052586,0.001226444240569835,0.5047282509520755,1.060550468299388,0.005149215464250845,0.0
main,linear,2117-10-01,2117-07-01,0.0028446294245695,0.006321398721265556,0.0087098995046588,0.0343870611810089,0.106787807935257,0.007814121432602406,,0.03089202757589704,0.0035163546446710828,0.10359313915897639,0.5185849432452995,0.5048301589371436,0.5150474955559888,1.0723704505782674,1.0704509194562128,1.0718767866443122,0.000493663933955224,-0.001425867188099339,0.001919531122054563,0.5185849432452995,1.0723704505782672,0.0,0.0
main,linear,2118-01-01,2117-10-01,0.0037142925712336,0.008253983491630222,0.0089239835821328,0.03522094582292,0.1075290409842279,0.005817973520606756,,0.02306958776742396,0.0026180880842730406,0.09559553205217736,0.5142886442815188,0.5025053269919991,0.5420088402483858,1.0672983073300486,1.0657563769041385,0.531925119630382,0.5353731876996666,0.5338312572737565,0.0015419304259101096,0.5142886442815188,1.0672983073300484,0.05390005714425716,0.0
main,linear,2118-04-01,2118-01-01,0.0041646712036679,0.009254824897039778,0.0058303901874777,0.0231183916762302,0.0956510509849462,0.008354668505489826,,0.0330021988745145,0.0037596008274704217,0.1055403275793504,0.5464011409847036,0.541814999400449,0.5087817976670108,1.0690395807103275,1.0684601066420916,1.064286252991116,0.004753327719211553,0.004173853650975667,0.0005794740682358857,0.5464011409847036,1.0690395807103277,0.0,0.0
main,linear,2118-07-01,2118-04-01,0.0016743524354645,0.003720783189921111,0.0044370923488137,0.0176305917027176,0.0886378766620879,0.006363365799188614,,0.025211537683783813,0.002863514609634876,0.09794996947998763,0.5763282448191178,0.5670413266357173,0.5338696733046451,1.087173379126213,1.085768672612185,1.0807512452379977,0.006422133888215331,0.0050174273741872,0.0014047065140281312,0.5763282448191178,1.0871733791262128,0.0,0.0
main,linear,2118-10-01,2118-07-01,0.0010354620629629,0.0023010268065842224,0.003767028001106,0.0149831826273301,0.0844454602856122,0.004543453920632601,,0.01805033257682065,0.0020445542642846706,0.08924281226200537,0.592835266287361,0.5828671419092449,0.5648054501337629,1.093457740458006,1.0918863117088065,1.0890389694567901,0.004418771001215793,0.002847342252016327,0.001571428749199466,0.592835266287361,1.0934577404580057,0.0,0.0
main,linear,2119-01-01,2118-10-01,0.0022951039971769,0.005100231104837555,0.0055653837159627,0.0220763824466169,0.0944440031452647,0.004339966457337141,,0.017247180599909373,0.0019529849058017134,0.08807251455552148,0.5557435538765513,0.5460502432300677,0.5691415356618063,1.080610024532187,1.0792040199036834,0.8414714113902657,0.2391386131419213,0.2377326085134177,0.0014060046285035988,0.5557435538765513,1.0806100245321866,0.024108197646634966,0.0
main,linear,2119-04-01,2119-01-01,0.0025986528336984,0.005774784074885334,0.0041236630014065,0.0163929046220774,0.0867653647060218,0.004572943784296513,,0.018166686324971093,0.002057824702933431,0.08940802158251814,0.5794950760320897,0.5740371906312239,0.564196852377887,1.0822961075589406,1.081521014305224,1.0801235537075298,0.0021725538514107967,0.0013974605976943,0.0007750932537164967,0.5794950760320897,1.08229610755894,0.0,0.0
main,linear,2119-07-01,2119-04-01,0.0006171320028061,0.0013714044506802222,0.0040043169331408,0.0159213169805962,0.0860133289682988,0.005160007160156965,,0.020480823443015828,0.0023220032220706345,0.09249696397071572,0.5888225089801142,0.576879461998337,0.5529743509146059,1.0952883693660171,1.0933556418381127,1.0894871092668503,0.005801260099166816,0.0038685325712624063,0.0019327275279044098,0.5888225089801142,1.0952883693660165,0.0,0.0
main,linear,2119-10-01,2119-07-01,0.0016765239759814,0.003725608835514222,0.0050224176829955,0.0199388287749058,0.091804343876531,0.003116528270766139,,0.012407957578172812,0.0014024377218447627,0.07953898589809219,0.5659922343826065,0.555465165249517,0.6021805327443611,1.0855976998646606,1.0840056410882857,0.4516927155747017,0.6339049842899589,0.632312925513584,0.001592058776374916,0.5659922343826065,1.08559769986466,0.06393779129161992,0.0
