split,model,date,feature_date,c_q_realised,k_irb_true,alpha_oracle,alpha_bayes,alpha_hat,alpha_hat_std,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat
main,blackbox_mlp,2117-07-01,2117-04-01,0.0022204446180888,0.0995513614734822,0.5406229274791974,0.5378123580846078,0.5686228275299072,0.005019776523113251,1.0788204191191393,1.0784106505977078,1.0725442972677064,0.006276121851432892,0.005866353330001406,0.0004097685214314861,0.5406229274791966,1.078820419119139,0.05179191393102833
main,blackbox_mlp,2117-10-01,2117-07-01,0.0028720600307439,0.1000386461094951,0.5373145986697156,0.5362296474471407,0.556542158126831,0.010610036551952362,1.0748368547487672,1.0746857433937913,1.0703579495959132,0.004478905152853985,0.004327793797878066,0.0001511113549759191,0.5373145986697161,1.0748368547487672,0.03578454045797086
main,blackbox_mlp,2118-01-01,2117-10-01,0.0060504463561545,0.1082129007821975,0.5064230966389263,0.5107225001563235,0.5506483316421509,0.005753315519541502,1.0544382224380249,1.053202440446022,1.0417265124743964,0.01271170996362847,0.011475927971625666,0.0012357819920028046,0.5064230966389263,1.0544382224380244,0.0873286266220843
main,blackbox_mlp,2118-04-01,2118-01-01,0.0047767401864544,0.1166160085924345,0.4887758722201198,0.4865278123229283,0.5050226449966431,0.008981761522591114,1.0587667930229487,1.0584965029407447,1.05407224245429,0.00469455056865864,0.004424260486454612,0.0002702900822040277,0.4887758722201191,1.058766793022948,0.03323971135448189
main,blackbox_mlp,2118-07-01,2118-04-01,0.003080001468728,0.1105480559993848,0.5080576474064726,0.5037963286409864,0.4753446578979492,0.007240767125040293,1.069705501762183,1.0691208488901454,1.0652172800820785,0.004488221680104543,0.0039035688080668596,0.0005846528720376831,0.5080576474064726,1.0697055017621828,0.0
main,blackbox_mlp,2118-10-01,2118-07-01,0.004189232014974,0.0991848734232313,0.5359800555034471,0.539007331270084,0.5243301391601562,0.016978450119495392,1.0675912012455533,1.0668433426560495,1.0661220573250512,0.001469143920502125,0.0007212853309983558,0.0007478585895037693,0.5359800555034474,1.0675912012455528,0.0
main,blackbox_mlp,2119-01-01,2118-10-01,0.0055089459993031,0.1078825448914854,0.5086690163842081,0.5117152053079078,0.5413302779197693,0.017802616581320763,1.05743409272291,1.0565803299151575,1.048280041200899,0.009154051522010986,0.008300288714258475,0.0008537628077525117,0.5086690163842078,1.0574340927229096,0.06420926400572335
main,blackbox_mlp,2119-04-01,2119-01-01,0.003798271628768,0.1021075658162072,0.5288044065769769,0.5295876078536423,0.4852689802646637,0.01535926666110754,1.068753712257579,1.0685593260935469,1.063093354683859,0.005660357573719965,0.005465971409687853,0.00019438616403211206,0.5288044065769788,1.068753712257578,0.0
main,blackbox_mlp,2119-07-01,2119-04-01,0.0041732272629997,0.1004595430691411,0.5323884600928219,0.5348681905603493,0.523007869720459,0.0056916335597634315,1.067223480933936,1.066605042873581,1.066039015106229,0.0011844658277071485,0.0005660277673520397,0.0006184380603551087,0.532388460092822,1.0672234809339358,0.0
main,blackbox_mlp,2119-10-01,2119-07-01,0.002958387982374,0.0981435275510238,0.5425879574206083,0.5424243452781055,0.5237654447555542,0.010762795805931091,1.0751029199205224,1.0750802733625433,1.072497580745457,0.0026053391750653354,0.002582692617086213,2.2646557979122406e-05,0.5425879574206092,1.0751029199205222,0.0
main,blackbox_mlp,2120-01-01,2119-10-01,0.0013251176485858,0.0782326216691502,0.6144101038130783,0.6144211055913485,0.5435376167297363,0.0034577560145407915,1.0950792407202756,1.0950773629622157,1.0841118067246074,0.010967433995668241,0.01096555623760831,1.8777580599316224e-06,0.6144101038130759,1.0950792407202752,0.0
main,blackbox_mlp,2120-04-01,2120-01-01,0.0007076512746489,0.0725440959502291,0.639174709523165,0.637792254025527,0.590101420879364,0.008692817762494087,1.1028582230470114,1.1026357536610645,1.094961178481159,0.007897044565852385,0.007674575179905441,0.000222469385946944,0.6391747095231647,1.102858223047011,0.0
main,blackbox_mlp,2120-07-01,2120-04-01,0.0008104334284566,0.0797332130242862,0.6107107155152777,0.6084952354859627,0.6256707906723022,0.008006875403225422,1.0976499964168644,1.0972957507626977,1.0951428141059427,0.0025071823109217295,0.002152936656754978,0.0003542456541667516,0.6107107155152776,1.0976499964168642,0.024496167436534988
main,blackbox_mlp,2120-10-01,2120-07-01,0.0024492314987557,0.0857815267159777,0.5833258919174579,0.5855155387624237,0.5978745818138123,0.026604900136590004,1.083711748356893,1.083275233993508,1.0808114114085658,0.0029003369483271424,0.0024638225849420436,0.00043651436338509875,0.5833258919174573,1.0837117483568928,0.024940928776584825
main,blackbox_mlp,2121-01-01,2120-10-01,0.0009558718510917,0.0775192629152488,0.6185243000118612,0.6172717464729941,0.5866969227790833,0.011992317624390125,1.0979997827260173,1.0978013265381852,1.0929570122908194,0.005042770435197852,0.004844314247365755,0.00019845618783209673,0.6185243000118587,1.0979997827260166,0.0
main,blackbox_mlp,2121-04-01,2121-01-01,0.0009770840519924,0.0740502991776678,0.6320018571575262,0.6314576077823318,0.6162239909172058,0.008204850368201733,1.1000011225392408,1.0999150065266974,1.0975046041342875,0.0024965184049532407,0.0024104023924098605,8.61160125433802e-05,0.6320018571575257,1.10000112253924,0.0
main,blackbox_mlp,2121-07-01,2121-04-01,0.0006153970099317,0.0588075518096877,0.7011494354296579,0.7012687142910163,0.6558212041854858,0.0033294365275651217,1.1134782524030171,1.1134635334073013,1.106142058222106,0.0073361941809111375,0.007321475185195325,1.4718995715812255e-05,0.7011494354296575,1.1134782524030171,0.0
main,blackbox_mlp,2121-10-01,2121-07-01,0.0004175702858343,0.0555968184106055,0.7183165564182222,0.7178172376383503,0.6845726370811462,0.006993780378252268,1.1176777043958417,1.117595904432268,1.1121496311122294,0.005528073283612267,0.005446273320038664,8.179996357360331e-05,0.7183165564182231,1.1176777043958408,0.0
main,blackbox_mlp,2122-01-01,2121-10-01,0.0010360698102417,0.0661890263905196,0.6647826863048882,0.665801074828394,0.6614511609077454,0.012037805281579494,1.1047958785827026,1.1046500351753454,1.1042706992448428,0.0005251793378597824,0.00037933593050265557,0.00014584340735712686,0.6647826863048878,1.1047958785827023,0.0
main,blackbox_mlp,2122-04-01,2122-01-01,0.0007202311806423,0.0636017495993615,0.6778650888217121,0.6778485598291062,0.6341462135314941,0.015749096870422363,1.1089991379804807,1.1089964813658657,1.1019692451125747,0.007029892867906007,0.007027236253291047,2.656614614959807e-06,0.6778650888217131,1.10899913798048,0.0
