split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,dfl_mlp,2117-07-01,2117-04-01,0.0022204446180888,0.004934321373530667,0.0067555670734422,0.026749673325876,0.0995513614734822,0.008332224190235138,0.0010182829980258214,0.03291465007189065,0.003749500885605812,0.10546071343932453,0.5406229237977577,0.5321671548274217,0.5131211904272903,1.0788204185824017,1.077587605062405,1.074810788134669,0.004009630447732837,0.0027768169277360144,0.0012328135199968226,0.5406229237977577,1.0788204185824015,0.0,0.0
main,dfl_mlp,2117-10-01,2117-07-01,0.0028720600307439,0.0063823556238753335,0.0068781476457491,0.0272300364454535,0.1000386461094951,0.010957589372992516,0.0011458942444454684,0.043115193143146824,0.004930915217846632,0.11427509933601344,0.5373145940465816,0.53055590230024,0.4867205153935124,1.07483685410486,1.0738955075757222,1.0677901412020623,0.0070467129027977915,0.006105366373659882,0.0009413465291379097,0.5373145940465816,1.07483685410486,0.0,0.0
main,dfl_mlp,2118-01-01,2117-10-01,0.0060504463561545,0.01344543634701,0.0091233665012166,0.0359970817422056,0.1082129007821975,0.010572240501642228,0.0015140990598653849,0.0416230426314278,0.004757508225739003,0.11303040274382654,0.5064230915723023,0.5046209030159059,0.4903049627889413,1.0544382218933854,1.0542444946677518,1.0527055949934339,0.0017326268999515726,0.0015388996743179728,0.0001937272256335998,0.5064230915723023,1.054438221893385,0.0,0.0
main,dfl_mlp,2118-04-01,2118-01-01,0.0047767401864544,0.01061497819212089,0.0116929991192014,0.0459580153710073,0.1166160085924345,0.01587686687707901,0.004174330294236879,0.06201096319420274,0.007144590094685555,0.12921294770794722,0.48877587327749067,0.4801028347244803,0.44704767990964467,1.058766793150079,1.0577240111911212,1.0537497040459642,0.0050170891041148025,0.003974307145157008,0.0010427819589577947,0.4887758732774906,1.0587667931500786,0.0,0.0
main,dfl_mlp,2118-07-01,2118-04-01,0.003080001468728,0.006844447708284445,0.0098166022336355,0.0386919895058927,0.1105480559993848,0.030081930756568908,0.010490922568581933,0.11500625606410608,0.013536868840456009,0.1624855113283394,0.5080576477667188,0.4975928785336785,0.37466173470034264,1.0697055018116088,1.0682697356265345,1.051403584498125,0.01830191731348374,0.01686615112840939,0.0014357661850743497,0.5080576477667188,1.0697055018116086,0.0,0.0
main,dfl_mlp,2118-10-01,2118-07-01,0.004189232014974,0.00930940447772,0.0066643525381296,0.0263921105628481,0.0991848734232313,0.016929845698177813,0.0029313099392617547,0.0660189922972001,0.007618430564180016,0.13219708234307195,0.5359800545817314,0.5333837657909989,0.43978385838312095,1.0675912011293178,1.067263789173697,1.0554601220162907,0.012131079113027132,0.011803667157406217,0.0003274119556209154,0.5359800545817314,1.0675912011293174,0.0,0.0
main,dfl_mlp,2119-01-01,2118-10-01,0.0055089459993031,0.012242102220673555,0.0090268311903834,0.03562135819165,0.1078825448914854,0.00933797676116228,0.0005941002854840952,0.03683196958573254,0.0042020895425230265,0.10894253549003481,0.508669007414641,0.5056287820830871,0.5024068574423437,1.057434092311996,1.0570908188280672,1.0567270295770193,0.0007070627349767822,0.00036378925104796345,0.00034327348392881873,0.508669007414641,1.0574340923119958,0.0,0.0
main,dfl_mlp,2119-04-01,2119-01-01,0.003798271628768,0.008440603619484444,0.0074143970581055,0.0293293758829615,0.1021075658162072,0.016113344207406045,0.003866203365023557,0.06291220491332472,0.00725100489333272,0.12988983329166454,0.5288044054024098,0.5237959993426965,0.4453826547039206,1.0687537124055297,1.0681025330539171,1.057907442977186,0.010846269428343769,0.01019509007673114,0.0006511793516126296,0.5288044054024098,1.0687537124055293,0.0,0.0
main,dfl_mlp,2119-07-01,2119-04-01,0.0041732272629997,0.009273838362221556,0.0069852006074735,0.0276494052003167,0.1004595430691411,0.015404878184199333,0.0040319733022664405,0.06021021773273216,0.0069321951828897,0.1278505061180267,0.532388458302487,0.5291700186406095,0.4504309491524939,1.0672234807078746,1.0668170956460914,1.0568748922865987,0.01034858842127595,0.009942203359492696,0.0004063850617832543,0.532388458302487,1.0672234807078742,0.0,0.0
main,dfl_mlp,2119-10-01,2119-07-01,0.002958387982374,0.006574195516386667,0.0064098816524403,0.0253940588653974,0.0981435275510238,0.013030621223151684,0.0010092014896181869,0.05111252377101794,0.005863779550418258,0.12077129396439787,0.5425879559024893,0.5368630430918597,0.4687397813764866,1.0751029197103903,1.0743104994907953,1.0648811419104016,0.010221777799988674,0.009429357580393649,0.0007924202195950247,0.5425879559024893,1.07510291971039,0.0,0.0
