split,model,date,feature_date,c_q_realised,k_irb_true,alpha_oracle,alpha_bayes,alpha_hat,alpha_hat_std,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat
main,blackbox_linear,2117-07-01,2117-04-01,0.0007311587878163,0.0609723508810497,0.6901144070420782,0.6905099625544958,0.6616670489311218,,1.1108933882499947,1.1108423153662632,1.1063222274460838,0.004571160803910956,0.004520087920179439,5.107288373151775e-05,0.6901144070420991,1.1108933882499976,0.0
main,blackbox_linear,2117-10-01,2117-07-01,0.0005279771695336,0.059387337592573,0.6987372395058858,0.6983566707245945,0.6749006509780884,,1.1136986831373683,1.1136367568983907,1.109819988010121,0.003878695127247367,0.0038167688882697615,6.192623897760541e-05,0.6987372395058921,1.113698683137369,0.0
main,blackbox_linear,2118-01-01,2117-10-01,0.0005879426780821,0.0684811790901609,0.6567319658141859,0.6554492440979468,0.6823066473007202,,1.106469762749154,1.1062618071692367,1.102827476849419,0.0036422858997349206,0.003434330319817658,0.00020795557991726277,0.6567319658141859,1.106469762749154,0.038942339611149845
main,blackbox_linear,2118-04-01,2118-01-01,0.0019334331392693,0.0822762973496737,0.5973368440047586,0.5986624791127041,0.6399848461151123,,1.0888034811658411,1.0885567091631974,1.0808643938359703,0.007939087329870809,0.007692315327227028,0.0002467720026437803,0.5973368440047556,1.0888034811658414,0.07139690605138616
main,blackbox_linear,2118-07-01,2118-04-01,0.0012613552819292,0.0727129947007706,0.6362361251164642,0.637076422760357,0.6076874732971191,,1.0988624710498678,1.0987288966420008,1.0944263974718607,0.004436073578007127,0.004302499170140139,0.0001335744078669876,0.6362361251164642,1.0988624710498676,0.0
main,blackbox_linear,2118-10-01,2118-07-01,0.0018456181116288,0.0839975458108943,0.591564885861779,0.5921499640562674,0.6482529044151306,,1.0884648721492776,1.0883545600954672,1.0777767709600992,0.0106881011891784,0.010577789135367999,0.00011031205381040188,0.5915648858617788,1.0884648721492776,0.09582721984298637
main,blackbox_linear,2119-01-01,2118-10-01,0.0018416202413328,0.0864487735452671,0.5831230455379974,0.5830632855149642,0.6024578809738159,,1.0872257582011744,1.0872168204806898,1.0834864592260023,0.0037392989751721117,0.0037303612546875087,8.937720484603062e-06,0.5831230455379909,1.0872257582011748,0.03315739248040217
main,blackbox_linear,2119-04-01,2119-01-01,0.0011488915317683,0.0823579368020503,0.5998554550123273,0.5983510450690163,0.6179408431053162,,1.0938840271888948,1.0936485710845492,1.0906846755198925,0.003199351669002315,0.0029638955646567045,0.00023545610434561048,0.599855455012326,1.0938840271888943,0.030149580520130725
main,blackbox_linear,2119-07-01,2119-04-01,0.0013238095903451,0.0810840872641285,0.6038359353882587,0.6032400414504543,0.6183055639266968,,1.0934507991226077,1.0933585774421528,1.090897578276147,0.002553220846460702,0.0024609991660058395,9.222168045486256e-05,0.603835935388258,1.093450799122607,0.023962840553195308
main,blackbox_linear,2119-10-01,2119-07-01,0.0007941144420641,0.0802023339790991,0.6090265700465874,0.6066618668764803,0.6339924931526184,,1.0974800958190791,1.0971016041358868,1.0932774814972355,0.004202614321843656,0.003824122638651284,0.00037849168319237236,0.6090265700465863,1.097480095819079,0.040993157013385684
main,blackbox_linear,2120-01-01,2119-10-01,0.0014169422279281,0.0803321535224256,0.6062476408433191,0.6061561058364412,0.6120308041572571,,1.0932594245169693,1.0932453439497605,1.0922411967521843,0.0010182277647849958,0.001004147197576133,1.408056720886286e-05,0.6062476408433116,1.0932594245169702,0.009539277171013827
main,blackbox_linear,2120-04-01,2120-01-01,0.0013271625844687,0.0784870894569644,0.6134432938537673,0.6134095242691308,0.6374543309211731,,1.0949170834944733,1.0949118583815465,1.0908039902903215,0.004113093204151763,0.0041078680912249865,5.225112926776632e-06,0.6134432938537667,1.094917083494473,0.039141409656872295
main,blackbox_linear,2120-07-01,2120-04-01,0.0013615865189437,0.0869883325833011,0.5829207051585418,0.5810916431661862,0.6172316670417786,,1.0899937087290648,1.0897113305758597,1.0835186917972048,0.006475016931859923,0.006192638778654835,0.0002823781532050873,0.582920705158538,1.089993708729064,0.05886042548360826
main,blackbox_linear,2120-10-01,2120-07-01,0.0021475765700012,0.0844474023171412,0.5889455620065109,0.5904661220604982,0.5670360922813416,,1.08629479751738,1.0860012309573266,1.0830845292419808,0.003210268275399164,0.0029167017153457486,0.0002935665600534154,0.5889455620065102,1.0862947975173791,0.0
main,blackbox_linear,2121-01-01,2120-10-01,0.0014477804640941,0.0874891585487155,0.5809328337318773,0.5792704825524178,0.6119601726531982,,1.089186083990677,1.0889308761881482,1.0832675673414838,0.005918516649193295,0.005663308846664439,0.0002552078025288562,0.5809328337318755,1.0891860839906762,0.05340950918272014
main,blackbox_linear,2121-04-01,2121-01-01,0.0020926817714052,0.0895162819614103,0.5720530424966314,0.5719852339071451,0.5815626978874207,,1.0841336613963382,1.084123688571296,1.0822075315503834,0.0019261298459547493,0.0019161570209125234,9.972825042225963e-06,0.5720530424966315,1.0841336613963382,0.01662372563360459
main,blackbox_linear,2121-07-01,2121-04-01,0.0026075642467085,0.0910246286627624,0.5655078849643277,0.5666514111272873,0.5934206247329712,,1.0802593432533598,1.0800172141795903,1.074349100133529,0.005910243119830794,0.005668114046061268,0.00024212907376952586,0.5655078849643279,1.0802593432533594,0.04935870389239494
main,blackbox_linear,2121-10-01,2121-07-01,0.0019883596813801,0.0861646069329481,0.5835907154397153,0.5841057423452194,0.5922515988349915,,1.0864393569454442,1.0863391381019425,1.084754039715805,0.0016853172296391605,0.0015850983861374068,0.0001002188435017537,0.5835907154397134,1.0864393569454442,0.01484068442454789
