time,model,true_stress_probability,predicted_stress_probability
2087-07-01,prob_diag_linear,0.3711056218424092,0.37110546189780347
2087-10-01,prob_diag_linear,0.1255049044923561,0.1255048589812734
2088-01-01,prob_diag_linear,0.6227316564038766,0.6227319132493837
2088-04-01,prob_diag_linear,0.577191532497923,0.5771917325673647
2088-07-01,prob_diag_linear,0.5980686345615559,0.5980688741373806
2088-10-01,prob_diag_linear,0.408193930286362,0.4081938485549015
2089-01-01,prob_diag_linear,0.3494842576794536,0.3494840754351864
2089-04-01,prob_diag_linear,0.6625743103733209,0.6625746262356575
2089-07-01,prob_diag_linear,0.3316717484294871,0.3316715368813872
2089-10-01,prob_diag_linear,0.1391692238972262,0.13916913758025284
2090-01-01,prob_diag_linear,0.7203814067117954,0.7203817564641318
2090-04-01,prob_diag_linear,0.6870562492905605,0.6870565869698841
2090-07-01,prob_diag_linear,0.6227797774765609,0.6227800516451066
2090-10-01,prob_diag_linear,0.2303018441253741,0.23030159562304642
2091-01-01,prob_diag_linear,0.1752665720156663,0.17526638645636075
2091-04-01,prob_diag_linear,0.3194311647530384,0.31943093876681106
2091-07-01,prob_diag_linear,0.5669841697459996,0.5669843723726713
2091-10-01,prob_diag_linear,0.7053796487209866,0.7053800229231049
2092-01-01,prob_diag_linear,0.7448739048079982,0.7448742803543291
2092-04-01,prob_diag_linear,0.4047335189338678,0.40473344775990655
2092-07-01,prob_diag_linear,0.190619231205563,0.1906190609031121
2092-10-01,prob_diag_linear,0.5145856758927825,0.5145857971969243
2093-01-01,prob_diag_linear,0.391838934239769,0.39183883270047576
2093-04-01,prob_diag_linear,0.6237993609909843,0.6237996478105667
2093-07-01,prob_diag_linear,0.3069026810197787,0.3069024719873371
2093-10-01,prob_diag_linear,0.156701791980404,0.1567016622445988
2094-01-01,prob_diag_linear,0.1186211224922356,0.11862111887924212
2094-04-01,prob_diag_linear,0.1076113957612487,0.10761142005682633
2094-07-01,prob_diag_linear,0.0854928993932088,0.08549303254064464
2094-10-01,prob_diag_linear,0.0765625278427474,0.07656271882217817
2095-01-01,prob_diag_linear,0.0870654698347467,0.08706560002689964
2095-04-01,prob_diag_linear,0.4039225817447958,0.4039224446778361
2095-07-01,prob_diag_linear,0.2411818529383229,0.24118159598819527
2095-10-01,prob_diag_linear,0.3117587477279575,0.3117585141856419
2096-01-01,prob_diag_linear,0.5128719450324972,0.5128720334272916
2096-04-01,prob_diag_linear,0.511644946882905,0.5116450302840696
2096-07-01,prob_diag_linear,0.4569227129616854,0.4569227047650176
2096-10-01,prob_diag_linear,0.0591472899960912,0.059147588344609585
2097-01-01,prob_diag_linear,0.0516874538928286,0.05168780889461744
2097-04-01,prob_diag_linear,0.0214888263620893,0.021489477949627408
2097-07-01,prob_diag_linear,0.1540084804889345,0.15400834131796617
2097-10-01,prob_diag_linear,0.0569839015669128,0.05698421179834407
2098-01-01,prob_diag_linear,0.027169101729854,0.02716968584004527
2098-04-01,prob_diag_linear,0.0163733051273228,0.01637402089421977
2098-07-01,prob_diag_linear,0.0339297758315942,0.033930289501074566
2098-10-01,prob_diag_linear,0.019012795487407,0.019013477934966487
2099-01-01,prob_diag_linear,0.0065398598233605,0.006540722367365744
2099-04-01,prob_diag_linear,0.0176105538471707,0.017611254887125515
2099-07-01,prob_diag_linear,0.0610744555310395,0.061074744465967036
2099-10-01,prob_diag_linear,0.3402497336986335,0.3402495602683798
2100-01-01,prob_diag_linear,0.1503960036238094,0.1503959012098184
2100-04-01,prob_diag_linear,0.044780525681266,0.04478094652133305
2100-07-01,prob_diag_linear,0.0507372280992535,0.05073759646989348
2100-10-01,prob_diag_linear,0.0276938144435954,0.02769439714549466
2101-01-01,prob_diag_linear,0.0466233813733793,0.046623785196240185
2101-04-01,prob_diag_linear,0.0529186199031416,0.05291896773214493
2101-07-01,prob_diag_linear,0.0191397980858438,0.019140476609307875
2101-10-01,prob_diag_linear,0.0078564158726598,0.007857256435082519
2102-01-01,prob_diag_linear,0.0411918018215316,0.04119225086459522
2102-04-01,prob_diag_linear,0.0198662908563717,0.019866964629052093
2102-07-01,prob_diag_linear,0.0145004254411376,0.014501169013456926
2102-10-01,prob_diag_linear,0.0128481388626467,0.012848904009326218
2103-01-01,prob_diag_linear,0.0206591608947115,0.02065982384180567
2103-04-01,prob_diag_linear,0.0272693416907751,0.027269929830412914
2103-07-01,prob_diag_linear,0.1479906422597519,0.14799054014443228
2103-10-01,prob_diag_linear,0.4763368937051255,0.47633693141386685
2104-01-01,prob_diag_linear,0.4589532916138388,0.45895328036937966
2104-04-01,prob_diag_linear,0.3648288554750158,0.3648286759551925
2104-07-01,prob_diag_linear,0.6908796239312222,0.6908799428792486
2104-10-01,prob_diag_linear,0.4252674065694531,0.4252673180870666
2105-01-01,prob_diag_linear,0.3611396661426269,0.36113950614757495
2105-04-01,prob_diag_linear,0.5559544924495212,0.5559546730303164
2105-07-01,prob_diag_linear,0.3781026326283684,0.3781024970578137
