feature_time,time,stage,model,train_size,true_stress_probability,stress_regime,predicted_stress_probability,predicted_delta,base_mixture_mean,predicted_mean_charge_off,true_conditional_mean_charge_off,realised_charge_off_rate,predicted_normal_mean,predicted_stress_mean,predicted_alpha,oracle_alpha,predicted_realised_utility,oracle_utility,regret,cumulative_regret
2087-07-01,2087-07-01,stage_1_base,pto_base_linear,350,0.3711056218424092,0,0.4883213688266708,0.0,0.010104235224378701,0.010104235224378701,0.009143066099107757,0.0085376630524061,0.0061,0.0143,0.4487300996988776,0.5094308695727777,1.1860539859224226,1.2112219436573226,0.025167957734899993,0.025167957734899993
2087-07-01,2087-07-01,stage_1_base,pto_base_mlp,350,0.3711056218424092,0,0.9945904029282725,0.0,0.014255641304011833,0.014255641304011833,0.009143066099107757,0.0085376630524061,0.0061,0.0143,0.40946892801105533,0.5094308695727777,1.1697753866276446,1.2112219436573226,0.04144655702967803,0.04144655702967803
2087-10-01,2087-10-01,stage_1_base,pto_base_linear,351,0.1255049044923561,0,0.25843719621546435,0.0,0.008219185008966807,0.008219185008966807,0.007129140216837321,0.0091736162561477,0.0061,0.0143,0.47671862352464306,0.4985041895686022,1.1946269746185814,1.2035212334124583,0.008894258793876952,0.034062216528776945
2087-10-01,2087-10-01,stage_1_base,pto_base_mlp,351,0.1255049044923561,0,0.3142423008328405,0.0,0.008676786866829291,0.008676786866829291,0.007129140216837321,0.0091736162561477,0.0061,0.0143,0.4689433377372031,0.4985041895686022,1.19145260660582,1.2035212334124583,0.012068626806638338,0.05351518383631637
2088-01-01,2088-01-01,stage_1_base,pto_base_linear,352,0.6227316564038766,1,0.7063678649115975,0.0,0.011892216492275098,0.011892216492275098,0.011206399582511788,0.0197386292569765,0.0061,0.0143,0.4290865855138133,0.3974750753430479,0.33453977920081357,1.1202814061606714,0.7857416269598578,0.8198038434886348
2088-01-01,2088-01-01,stage_1_base,pto_base_mlp,352,0.6227316564038766,1,0.9990020644715673,0.0,0.014291816928666852,0.014291816928666852,0.011206399582511788,0.0197386292569765,0.0061,0.0143,0.40921202118927863,0.3974750753430479,0.828545843163899,1.1202814061606714,0.2917355629967724,0.34525074683308876
2088-04-01,2088-04-01,stage_1_base,pto_base_linear,353,0.577191532497923,1,0.6650641992001614,0.0,0.011553526433441324,0.011553526433441324,0.010832970566482969,0.007802337352729,0.0061,0.0143,0.43243313459959815,0.5231860679222506,1.1824766753133578,1.220772291959353,0.038295616645995345,0.8580994601346301
2088-04-01,2088-04-01,stage_1_base,pto_base_mlp,353,0.577191532497923,1,0.9928811857000986,0.0,0.014241625722740809,0.014241625722740809,0.010832970566482969,0.007802337352729,0.0061,0.0143,0.40956876996856645,0.5231860679222506,1.1728284478599131,1.220772291959353,0.04794384409943997,0.39319459093252873
2088-07-01,2088-07-01,stage_1_base,pto_base_linear,354,0.5980686345615559,0,0.6702791610549537,0.0,0.011596289120650617,0.011596289120650617,0.011004162803404759,0.0037155669983386,0.0061,0.0143,0.4320019456648078,0.6292947053862423,1.1999496511071017,1.2912654862974977,0.09131583519039599,0.9494152953250261
2088-07-01,2088-07-01,stage_1_base,pto_base_mlp,354,0.5980686345615559,0,0.61653220924212,0.0,0.011155564115785383,0.011155564115785383,0.011004162803404759,0.0037155669983386,0.0061,0.0143,0.4365720239860254,0.6292947053862423,1.2020648859458092,1.2912654862974977,0.08920060035168853,0.48239519128421726
